Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Begin Path
52	Spectrogram 1	1	1303.759000000	1308.652000000	15.4	255.3	4.893	239.9	-53.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
53	Spectrogram 1	1	1324.886000000	1329.899000000	11.4	189.4	5.013	178.0	-50.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
54	Spectrogram 1	1	1372.997000000	1376.220000000	17.9	48.0	3.223	30.1	-52.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
55	Spectrogram 1	1	1377.016000000	1381.631000000	26.8	252.8	4.615	226.0	-59.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
56	Spectrogram 1	1	1378.070000000	1381.850000000	27.6	43.1	3.780	15.5	-49.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
57	Spectrogram 1	1	1380.915000000	1382.785000000	33.3	47.2	1.870	13.9	-54.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
58	Spectrogram 1	1	1383.103000000	1387.002000000	24.4	40.7	3.899	16.3	-51.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
59	Spectrogram 1	1	1386.923000000	1391.658000000	26.8	118.7	4.735	91.9	-54.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
60	Spectrogram 1	1	1387.878000000	1391.658000000	23.6	36.6	3.780	13.0	-45.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
61	Spectrogram 1	1	1398.581000000	1402.122000000	9.8	175.6	3.541	165.8	-49.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
62	Spectrogram 1	1	1406.865000000	1408.973000000	17.1	31.7	2.108	14.6	-48.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
63	Spectrogram 1	1	1408.655000000	1412.276000000	25.2	72.4	3.621	47.2	-49.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
64	Spectrogram 1	1	1413.191000000	1415.101000000	23.2	191.1	1.910	167.9	-50.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
65	Spectrogram 1	1	1416.692000000	1418.244000000	27.6	41.5	1.552	13.9	-55.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
66	Spectrogram 1	1	1443.211000000	1446.911000000	27.2	42.3	3.700	15.1	-54.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
67	Spectrogram 1	1	1451.626000000	1455.326000000	23.6	83.7	3.700	60.1	-53.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
68	Spectrogram 1	1	1463.252000000	1465.162000000	16.3	44.7	1.910	28.4	-49.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
69	Spectrogram 1	1	1472.005000000	1476.979000000	26.0	43.9	4.974	17.9	-55.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
70	Spectrogram 1	1	1505.546000000	1510.042000000	34.1	69.1	4.496	35.0	-58.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
71	Spectrogram 1	1	1529.387000000	1535.514000000	26.8	100.8	6.127	74.0	-54.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
72	Spectrogram 1	1	1534.818000000	1538.598000000	21.5	204.1	3.780	182.6	-49.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
73	Spectrogram 1	1	1606.225000000	1611.756000000	25.2	80.5	5.531	55.3	-51.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
74	Spectrogram 1	1	1635.477000000	1637.228000000	34.1	48.8	1.751	14.7	-56.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
75	Spectrogram 1	1	1659.708000000	1661.459000000	30.1	44.7	1.751	14.6	-56.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
76	Spectrogram 1	1	1667.029000000	1668.700000000	22.8	78.0	1.671	55.2	-46.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
77	Spectrogram 1	1	1670.610000000	1672.520000000	24.4	60.2	1.910	35.8	-45.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
78	Spectrogram 1	1	1705.910000000	1712.156000000	23.6	42.3	6.246	18.7	-52.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
79	Spectrogram 1	1	1732.217000000	1733.610000000	22.0	74.0	1.393	52.0	-47.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
80	Spectrogram 1	1	1916.419000000	1918.965000000	25.2	40.7	2.546	15.5	-52.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
81	Spectrogram 1	1	1945.185000000	1946.737000000	22.8	55.3	1.552	32.5	-52.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
82	Spectrogram 1	1	1951.918000000	1954.385000000	15.4	33.3	2.467	17.9	-53.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
83	Spectrogram 1	1	1990.830000000	1992.342000000	26.0	43.1	1.512	17.1	-53.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
84	Spectrogram 1	1	1996.957000000	1998.469000000	19.3	36.0	1.512	16.7	-49.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
85	Spectrogram 1	1	2045.785000000	2050.321000000	31.7	46.3	4.536	14.6	-57.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
86	Spectrogram 1	1	2052.668000000	2055.215000000	29.3	43.9	2.547	14.6	-55.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
87	Spectrogram 1	1	2053.225000000	2056.329000000	38.2	58.5	3.104	20.3	-49.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
88	Spectrogram 1	1	2057.292000000	2060.475000000	26.8	199.2	3.183	172.4	-53.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
89	Spectrogram 1	1	2059.719000000	2061.469000000	25.2	44.7	1.750	19.5	-45.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
90	Spectrogram 1	1	2061.151000000	2063.101000000	29.3	50.4	1.950	21.1	-54.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
91	Spectrogram 1	1	2061.907000000	2064.056000000	22.0	33.3	2.149	11.3	-53.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
92	Spectrogram 1	1	2062.902000000	2066.403000000	39.8	82.9	3.501	43.1	-51.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
93	Spectrogram 1	1	2064.016000000	2066.960000000	21.1	39.0	2.944	17.9	-49.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
94	Spectrogram 1	1	2065.190000000	2068.333000000	26.8	44.7	3.143	17.9	-46.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
95	Spectrogram 1	1	2070.123000000	2073.983000000	29.7	120.3	3.860	90.6	-52.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
96	Spectrogram 1	1	2074.082000000	2080.090000000	8.9	130.1	6.008	121.2	-45.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
97	Spectrogram 1	1	2101.178000000	2104.480000000	26.8	47.2	3.302	20.4	-54.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
98	Spectrogram 1	1	2105.156000000	2107.862000000	39.0	57.7	2.706	18.7	-48.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
99	Spectrogram 1	1	2106.549000000	2109.095000000	24.4	44.7	2.546	20.3	-45.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
100	Spectrogram 1	1	2110.019000000	2111.889000000	39.8	53.7	1.870	13.9	-48.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
101	Spectrogram 1	1	2110.178000000	2113.102000000	30.5	67.1	2.924	36.6	-48.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
102	Spectrogram 1	1	2110.416000000	2116.385000000	14.6	171.5	5.969	156.9	-52.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
103	Spectrogram 1	1	2113.798000000	2116.623000000	26.0	41.5	2.825	15.5	-44.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
104	Spectrogram 1	1	2118.613000000	2122.631000000	15.4	240.7	4.018	225.3	-51.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
105	Spectrogram 1	1	2124.055000000	2129.276000000	8.9	187.8	5.221	178.9	-48.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
106	Spectrogram 1	1	2143.918000000	2148.772000000	26.4	129.7	4.854	103.3	-54.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
107	Spectrogram 1	1	2187.215000000	2192.148000000	22.8	61.0	4.933	38.2	-51.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
108	Spectrogram 1	1	2217.064000000	2220.366000000	23.6	39.8	3.302	16.2	-56.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
109	Spectrogram 1	1	2221.400000000	2223.987000000	33.3	113.8	2.587	80.5	-51.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
110	Spectrogram 1	1	2222.515000000	2224.424000000	27.6	43.1	1.909	15.5	-45.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
111	Spectrogram 1	1	2288.889000000	2293.265000000	27.6	131.7	4.376	104.1	-55.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
112	Spectrogram 1	1	2313.239000000	2318.650000000	26.0	70.7	5.411	44.7	-55.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
113	Spectrogram 1	1	2321.554000000	2323.504000000	16.3	30.9	1.950	14.6	-50.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
114	Spectrogram 1	1	2346.270000000	2347.822000000	38.2	52.8	1.552	14.6	-54.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
115	Spectrogram 1	1	2350.428000000	2352.676000000	25.6	236.2	2.248	210.6	-55.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
116	Spectrogram 1	1	2392.134000000	2395.675000000	28.5	68.3	3.541	39.8	-45.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
117	Spectrogram 1	1	2395.337000000	2398.560000000	23.6	271.5	3.223	247.9	-53.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
118	Spectrogram 1	1	2436.446000000	2439.788000000	28.5	83.7	3.342	55.2	-50.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
119	Spectrogram 1	1	2438.236000000	2441.359000000	15.0	206.1	3.123	191.1	-52.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
120	Spectrogram 1	1	2443.587000000	2448.481000000	25.2	56.9	4.894	31.7	-56.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
121	Spectrogram 1	1	2450.610000000	2452.719000000	14.6	42.3	2.109	27.7	-53.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
122	Spectrogram 1	1	2472.056000000	2474.005000000	24.4	57.7	1.949	33.3	-54.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
123	Spectrogram 1	1	2497.647000000	2500.711000000	27.6	261.0	3.064	233.4	-58.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
124	Spectrogram 1	1	2511.971000000	2515.233000000	17.1	261.0	3.262	243.9	-53.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
125	Spectrogram 1	1	2515.910000000	2518.695000000	15.4	43.1	2.785	27.7	-48.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
126	Spectrogram 1	1	2528.642000000	2532.223000000	30.9	219.5	3.581	188.6	-53.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
127	Spectrogram 1	1	2531.944000000	2536.659000000	24.4	206.5	4.715	182.1	-53.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
128	Spectrogram 1	1	2534.331000000	2542.846000000	30.1	187.8	8.515	157.7	-51.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
129	Spectrogram 1	1	2538.429000000	2542.289000000	26.8	41.5	3.860	14.7	-43.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
130	Spectrogram 1	1	2542.934000000	2551.448000000	26.0	107.3	8.514	81.3	-51.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
131	Spectrogram 1	1	2561.236000000	2564.698000000	17.9	63.4	3.462	45.5	-44.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
132	Spectrogram 1	1	2562.629000000	2566.806000000	13.8	265.9	4.177	252.1	-49.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
133	Spectrogram 1	1	2567.642000000	2571.780000000	12.2	270.7	4.138	258.5	-51.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
134	Spectrogram 1	1	2585.069000000	2590.082000000	16.3	264.2	5.013	247.9	-53.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
135	Spectrogram 1	1	2619.175000000	2623.989000000	30.5	67.1	4.814	36.6	-54.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
136	Spectrogram 1	1	2654.355000000	2657.419000000	26.8	43.9	3.064	17.1	-52.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
137	Spectrogram 1	1	2664.024000000	2671.365000000	24.0	92.7	7.341	68.7	-57.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
138	Spectrogram 1	1	2675.125000000	2683.082000000	13.8	258.5	7.957	244.7	-57.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
139	Spectrogram 1	1	2789.610000000	2793.390000000	26.8	45.5	3.780	18.7	-57.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
140	Spectrogram 1	1	2797.886000000	2802.024000000	26.0	43.1	4.138	17.1	-55.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
141	Spectrogram 1	1	2816.435000000	2819.817000000	26.8	45.5	3.382	18.7	-56.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
